model-1658373387,1658373390.584, 0.44, 0.25, 0.49, 0.2515
model-1658373387,1658373390.703, 0.52, 0.2496, 0.49, 0.2504
model-1658373387,1658373390.806, 0.44, 0.2515, 0.51, 0.253
model-1658373387,1658373390.832, 0.44, 0.2599, 0.51, 0.2503
model-1658373387,1658373390.855, 0.47, 0.2523, 0.47, 0.25
model-1658373387,1658373390.877, 0.5, 0.2499, 0.49, 0.2502
model-1658373387,1658373390.902, 0.54, 0.249, 0.49, 0.2502
model-1658373387,1658373390.926, 0.48, 0.2505, 0.49, 0.2502
model-1658373387,1658373390.948, 0.51, 0.2498, 0.49, 0.2502
model-1658373387,1658373390.968, 0.55, 0.2489, 0.49, 0.2502
model-1658373387,1658373390.989, 0.52, 0.2495, 0.49, 0.2503
model-1658373387,1658373391.008, 0.49, 0.2506, 0.49, 0.2502
model-1658373387,1658373391.029, 0.49, 0.2503, 0.49, 0.2502
model-1658373387,1658373391.049, 0.44, 0.2516, 0.49, 0.2502
model-1658373387,1658373391.072, 0.63, 0.2472, 0.49, 0.2502
model-1658373387,1658373391.092, 0.47, 0.2508, 0.49, 0.2501
model-1658373387,1658373391.112, 0.55, 0.2488, 0.49, 0.2501
model-1658373387,1658373391.131, 0.51, 0.2497, 0.49, 0.2501
model-1658373387,1658373391.152, 0.47, 0.2511, 0.49, 0.25
model-1658373387,1658373391.172, 0.47, 0.251, 0.49, 0.2498
model-1658373387,1658373391.191, 0.54, 0.2481, 0.5, 0.2495
model-1658373387,1658373391.211, 0.55, 0.2476, 0.5, 0.2494
model-1658373387,1658373391.23, 0.4, 0.2538, 0.5, 0.2488
model-1658373387,1658373391.25, 0.43, 0.2512, 0.48, 0.2495
model-1658373387,1658373391.269, 0.63, 0.2484, 0.51, 0.2508
model-1658373387,1658373391.289, 0.56, 0.2488, 0.51, 0.2531
model-1658373387,1658373391.308, 0.47, 0.2545, 0.51, 0.2521
model-1658373387,1658373391.327, 0.52, 0.2477, 0.51, 0.2511
model-1658373387,1658373391.347, 0.51, 0.2526, 0.51, 0.2501
model-1658373387,1658373391.366, 0.5, 0.2499, 0.51, 0.2495
model-1658373387,1658373391.387, 0.41, 0.2512, 0.51, 0.2492
model-1658373387,1658373391.407, 0.45, 0.2488, 0.53, 0.249
model-1658373387,1658373391.426, 0.52, 0.249, 0.53, 0.249
model-1658373387,1658373391.445, 0.61, 0.249, 0.54, 0.2489
model-1658373387,1658373391.464, 0.53, 0.2493, 0.54, 0.2489
model-1658373387,1658373391.485, 0.52, 0.249, 0.55, 0.2487
model-1658373387,1658373391.505, 0.56, 0.2487, 0.56, 0.2485
model-1658373387,1658373391.525, 0.51, 0.2498, 0.52, 0.2483
model-1658373387,1658373391.545, 0.56, 0.2474, 0.51, 0.2488
model-1658373387,1658373391.564, 0.48, 0.2521, 0.51, 0.2486
model-1658373387,1658373391.585, 0.51, 0.25, 0.51, 0.2481
model-1658373387,1658373391.606, 0.49, 0.2508, 0.51, 0.2471
model-1658373387,1658373391.627, 0.61, 0.2442, 0.53, 0.2463
model-1658373387,1658373391.648, 0.45, 0.2501, 0.55, 0.2455
model-1658373387,1658373391.667, 0.56, 0.2469, 0.53, 0.245
model-1658373387,1658373391.687, 0.62, 0.2435, 0.5, 0.2445
model-1658373387,1658373391.707, 0.55, 0.247, 0.61, 0.2456
model-1658373387,1658373391.728, 0.45, 0.2525, 0.52, 0.2432
model-1658373387,1658373391.746, 0.56, 0.247, 0.56, 0.2429
model-1658373387,1658373391.764, 0.54, 0.2507, 0.54, 0.2438
model-1658373387,1658373391.783, 0.49, 0.2466, 0.55, 0.243
model-1658373387,1658373391.802, 0.38, 0.2598, 0.59, 0.2408
model-1658373387,1658373391.82, 0.69, 0.2405, 0.64, 0.2412
model-1658373387,1658373391.839, 0.69, 0.2395, 0.59, 0.2415
model-1658373387,1658373391.86, 0.58, 0.2473, 0.64, 0.2403
model-1658373387,1658373391.878, 0.61, 0.2461, 0.65, 0.2385
model-1658373387,1658373391.897, 0.57, 0.241, 0.58, 0.2373
model-1658373387,1658373391.916, 0.55, 0.2456, 0.56, 0.2383
model-1658373387,1658373391.936, 0.54, 0.2454, 0.56, 0.2402
model-1658373387,1658373391.954, 0.62, 0.2339, 0.53, 0.2442
model-1658373387,1658373391.974, 0.57, 0.2398, 0.54, 0.2431
model-1658373387,1658373391.993, 0.55, 0.2438, 0.56, 0.2392
model-1658373387,1658373392.012, 0.5, 0.2586, 0.53, 0.2367
model-1658373387,1658373392.032, 0.57, 0.2402, 0.58, 0.2372
model-1658373387,1658373392.051, 0.59, 0.2317, 0.61, 0.2389
model-1658373387,1658373392.07, 0.57, 0.2419, 0.54, 0.2429
model-1658373387,1658373392.089, 0.51, 0.2573, 0.55, 0.2419
model-1658373387,1658373392.108, 0.54, 0.2508, 0.56, 0.2387
model-1658373387,1658373392.127, 0.52, 0.2514, 0.65, 0.2344
